title,link,rubric,date,image_url,club_tags,league,scraped_at
Тренер «Тоттенхэма» высказался о возможном возвращении Кейна24 сентября 10:45,https://news.sportbox.ru/Vidy_sporta/Futbol/spbnews_NI2247919_Trener_Tottenkhema_vyskazalsa_o_vozmozhnom_vozvrashhenii_Kejna,Футбол,24 сентября 10:45,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Тоттенхэм,Бундеслига,2025-10-14 09:32:05
«Штутгарт» одержал домашнюю победу над «Санкт‑Паули» в матче чемпионата Германии19 сентября 23:31,https://news.sportbox.ru/Vidy_sporta/Futbol/spbnews_NI2245946_Shtutgart_oderzhal_domashnuju_pobedu_nad_SanktPauli_v_matche_chempionata_Germanii,Футбол,19 сентября 23:31,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Бундеслига,2025-10-14 09:32:05
«Бавария» забила пять безответных голов «Гамбургу» в матче чемпионата Германии13 сентября 21:32,https://news.sportbox.ru/Vidy_sporta/Futbol/spbnews_NI2243498_Bavarija_zabila_pat_bezotvetnyh_golov_Gamburgu_v_matche_chempionata_Germanii,Футбол,13 сентября 21:32,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Бавария,Бундеслига,2025-10-14 09:32:05
У стадиона «Баварии» открыли памятник Беккенбауэру13 сентября 06:39,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2243074_U_stadiona_Bavarii_otkryli_pamatnik_Bekkenbaueru,Германия,13 сентября 06:39,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Бундеслига,2025-10-14 09:32:05
Нападающий «Челси» Джексон перешел в «Баварию»2 сентября 00:24,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2239557_Napadajushhij_Chelsi_Dzhekson_pereshel_v_Bavariju,Германия,2 сентября 00:24,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Челси,Бундеслига,2025-10-14 09:32:05
«Байер» объявил об увольнении тен Хага с поста главного тренера после двух туров бундеслиги1 сентября 13:08,https://news.sportbox.ru/Vidy_sporta/Futbol/spbnews_NI2239382_Bajjer_objavil_ob_uvolnenii_ten_Khaga_s_posta_glavnogo_trenera_posle_dvuh_turov_bundesligi,Футбол,1 сентября 13:08,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Бундеслига,2025-10-14 09:32:05
Дортмундская «Боруссия» разгромила «Унион» в матче чемпионата Германии31 августа 22:04,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2239189_Dortmundskaja_Borussija_razgromila_Union_v_matche_chempionata_Germanii,Германия,31 августа 22:04,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Боруссия Дортмунд,Бундеслига,2025-10-14 09:32:05
«Бавария» обыграла «Аугсбург» в матче чемпионата Германии30 августа 21:40,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2238673_Bavarija_obygrala_Augsburg_v_matche_chempionata_Germanii,Европа,30 августа 21:40,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Бавария,Бундеслига,2025-10-14 09:32:05
«Байер» в большинстве упустил победу в результативном матче бундеслиги с «Вердером»30 августа 18:54,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2238552_Bajjer_v_bolshinstve_upustil_pobedu_v_rezultativnom_matche_bundesligi_s_Verderom,Европа,30 августа 18:54,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Бундеслига,2025-10-14 09:32:05
"«Ньюкасл» установил трансферный рекорд клуба, заплатив €85 млн за немецкого форварда Вольтемаде30 августа 13:28",https://news.sportbox.ru/Vidy_sporta/Futbol/transfers/spbnews_NI2238362_Njukasl_ustanovil_transfernyj_rekord_kluba_zaplativ_85_mln_za_nemeckogo_forvarda_Voltemade,Трансферы,30 августа 13:28,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Ньюкасл,Бундеслига,2025-10-14 09:32:05
